"callsite_rva","iat_mem_rva","dll","import_name"
"0x000032DA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003307","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003334","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003361","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000338E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000033BB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000033E8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003415","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003442","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000346F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000349C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000034C9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000034F6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003523","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003550","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000357D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000035AA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000035D7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003604","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003631","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000365E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000368B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000036B8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000036E5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003712","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000373F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000376C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003799","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000037C6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000037F3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003820","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000384D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000387A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000038A7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000038D4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003901","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000392E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000395B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003988","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000039B5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000039E2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003A0F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003A3C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003A69","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003A96","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003AC3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003AF0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003B1D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003B4A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003B77","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003BA4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003BD1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003BFE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003C2B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003C58","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003C85","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003CB2","0x004301E8","KERNEL32.dll","GetProcAddress"
