"callsite_rva","iat_mem_rva","dll","import_name"
"0x003936D4","0x004306D8","KERNEL32.dll","QueueUserWorkItem"
"0x003941F9","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x0039427B","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x003942B5","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00394D48","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00394E09","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00394F60","0x00430258","KERNEL32.dll","WideCharToMultiByte"
"0x00394FDE","0x004306C8","KERNEL32.dll","EncodePointer"
"0x00395011","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x00395024","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395042","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395060","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039507E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039509C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950BA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950D8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003950F6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395114","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395132","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395150","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039516E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039518C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003951AA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003951C8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003951E6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395204","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395222","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395240","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039525E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039527C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039529A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003952B8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003952D6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003952F4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395312","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395330","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039534E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039536C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039538A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003953A8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003953C6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003953E4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395402","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00395420","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039543E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039545C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039547A","0x004301E8","KERNEL32.dll","GetProcAddress"
