"target_id","target_label","target_rva","caller_rva","caller_func_begin","caller_func_end","caller_func_role","caller_func_score","caller_func_apis"
"TR01","transport_wrapper_A","0x001C4010","0x001C3C79","","","not_in_pdata_candidates","",""
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C3CCE","","","not_in_pdata_candidates","",""
"TR03","ioctl_cluster_B","0x001C6BB0","0x001C44B5","0x001C4010","0x001C44E3","transport_wrapper_candidate","19","CreateFileA:2; DeviceIoControl:1"
"TR04","transport_wrapper_B","0x0028CA90","0x0028CFFB","","","not_in_pdata_candidates","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028D493","0x0028D350","0x0028D530","unknown","5","CreateFileW:1"
"PR02","parser_compare_A","0x003B160C","0x00395FB0","","","not_in_pdata_candidates","",""
"PR02","parser_compare_A","0x003B160C","0x003B1C94","","","not_in_pdata_candidates","",""
"PR03","parser_compare_B","0x003F9610","0x00405290","","","not_in_pdata_candidates","",""
"PR03","parser_compare_B","0x003F9610","0x00405604","","","not_in_pdata_candidates","",""
