"file","dll","import_name","kind"
"EIO.exe","KERNEL32.dll","GetConsoleCP","name"
"EIO.exe","KERNEL32.dll","GetConsoleMode","name"
"EIO.exe","KERNEL32.dll","GetCPInfo","name"
"EIO.exe","KERNEL32.dll","GetCurrentProcess","name"
"EIO.exe","KERNEL32.dll","GetCurrentProcessId","name"
"EIO.exe","KERNEL32.dll","GetCurrentThreadId","name"
"EIO.exe","KERNEL32.dll","GetEnvironmentStringsW","name"
"EIO.exe","KERNEL32.dll","GetFileType","name"
"EIO.exe","KERNEL32.dll","GetLastError","name"
"EIO.exe","KERNEL32.dll","GetModuleFileNameA","name"
"EIO.exe","KERNEL32.dll","GetModuleHandleExW","name"
"EIO.exe","KERNEL32.dll","GetModuleHandleW","name"
"EIO.exe","KERNEL32.dll","GetOEMCP","name"
"EIO.exe","KERNEL32.dll","GetProcAddress","name"
"EIO.exe","KERNEL32.dll","GetProcessHeap","name"
"EIO.exe","KERNEL32.dll","GetStartupInfoW","name"
"EIO.exe","KERNEL32.dll","GetStdHandle","name"
"EIO.exe","KERNEL32.dll","GetStringTypeW","name"
"EIO.exe","KERNEL32.dll","GetSystemTimeAsFileTime","name"
"EIO.exe","KERNEL32.dll","HeapAlloc","name"
"EIO.exe","KERNEL32.dll","HeapFree","name"
"EIO.exe","KERNEL32.dll","HeapReAlloc","name"
"EIO.exe","KERNEL32.dll","HeapSize","name"
"EIO.exe","KERNEL32.dll","InitializeCriticalSectionAndSpinCount","name"
"EIO.exe","KERNEL32.dll","InitializeSListHead","name"
"EIO.exe","KERNEL32.dll","IsDebuggerPresent","name"
"EIO.exe","KERNEL32.dll","IsProcessorFeaturePresent","name"
"EIO.exe","KERNEL32.dll","IsValidCodePage","name"
"EIO.exe","KERNEL32.dll","LCMapStringW","name"
"EIO.exe","KERNEL32.dll","LeaveCriticalSection","name"
"EIO.exe","KERNEL32.dll","LoadLibraryA","name"
"EIO.exe","KERNEL32.dll","LoadLibraryExW","name"
"EIO.exe","KERNEL32.dll","MultiByteToWideChar","name"
"EIO.exe","KERNEL32.dll","QueryPerformanceCounter","name"
"EIO.exe","KERNEL32.dll","RaiseException","name"
"EIO.exe","KERNEL32.dll","RtlUnwind","name"
"EIO.exe","KERNEL32.dll","SetEnvironmentVariableA","name"
"EIO.exe","KERNEL32.dll","SetFilePointerEx","name"
"EIO.exe","KERNEL32.dll","SetLastError","name"
"EIO.exe","KERNEL32.dll","SetStdHandle","name"
"EIO.exe","KERNEL32.dll","SetUnhandledExceptionFilter","name"
"EIO.exe","KERNEL32.dll","TerminateProcess","name"
"EIO.exe","KERNEL32.dll","TlsAlloc","name"
"EIO.exe","KERNEL32.dll","TlsFree","name"
"EIO.exe","KERNEL32.dll","TlsGetValue","name"
"EIO.exe","KERNEL32.dll","TlsSetValue","name"
"EIO.exe","KERNEL32.dll","UnhandledExceptionFilter","name"
"EIO.exe","KERNEL32.dll","WideCharToMultiByte","name"
"EIO.exe","KERNEL32.dll","WriteConsoleW","name"
"EIO.exe","KERNEL32.dll","WriteFile","name"
