"dll","import_name","kind"
"KERNEL32.dll","HeapFree","name"
"KERNEL32.dll","HeapReAlloc","name"
"KERNEL32.dll","HeapSize","name"
"KERNEL32.dll","InitializeCriticalSection","name"
"KERNEL32.dll","InitializeCriticalSectionAndSpinCount","name"
"KERNEL32.dll","InitializeSListHead","name"
"KERNEL32.dll","InitOnceExecuteOnce","name"
"KERNEL32.dll","InterlockedFlushSList","name"
"KERNEL32.dll","InterlockedPopEntrySList","name"
"KERNEL32.dll","InterlockedPushEntrySList","name"
"KERNEL32.dll","IsBadReadPtr","name"
"KERNEL32.dll","IsBadWritePtr","name"
"KERNEL32.dll","IsDebuggerPresent","name"
"KERNEL32.dll","IsProcessorFeaturePresent","name"
"KERNEL32.dll","IsValidCodePage","name"
"KERNEL32.dll","IsValidLocale","name"
"KERNEL32.dll","LCMapStringW","name"
"KERNEL32.dll","LeaveCriticalSection","name"
"KERNEL32.dll","LoadLibraryA","name"
"KERNEL32.dll","LoadLibraryExA","name"
"KERNEL32.dll","LoadLibraryExW","name"
"KERNEL32.dll","LoadLibraryW","name"
"KERNEL32.dll","LocalAlloc","name"
"KERNEL32.dll","LocalFileTimeToFileTime","name"
"KERNEL32.dll","LocalFree","name"
"KERNEL32.dll","MoveFileExW","name"
"KERNEL32.dll","MultiByteToWideChar","name"
"KERNEL32.dll","OpenProcess","name"
"KERNEL32.dll","OutputDebugStringA","name"
"KERNEL32.dll","PeekConsoleInputA","name"
"KERNEL32.dll","PeekNamedPipe","name"
"KERNEL32.dll","PostQueuedCompletionStatus","name"
"KERNEL32.dll","Process32First","name"
"KERNEL32.dll","Process32Next","name"
"KERNEL32.dll","QueryDepthSList","name"
"KERNEL32.dll","QueryFullProcessImageNameA","name"
"KERNEL32.dll","QueryPerformanceCounter","name"
"KERNEL32.dll","QueryPerformanceFrequency","name"
"KERNEL32.dll","QueueUserAPC","name"
"KERNEL32.dll","QueueUserWorkItem","name"
"KERNEL32.dll","RaiseException","name"
"KERNEL32.dll","ReadConsoleInputA","name"
"KERNEL32.dll","ReadConsoleW","name"
"KERNEL32.dll","ReadFile","name"
"KERNEL32.dll","RegisterWaitForSingleObject","name"
"KERNEL32.dll","ReleaseMutex","name"
"KERNEL32.dll","ReleaseSemaphore","name"
"KERNEL32.dll","RemoveDirectoryW","name"
"KERNEL32.dll","ResetEvent","name"
"KERNEL32.dll","RtlCaptureContext","name"
"KERNEL32.dll","RtlLookupFunctionEntry","name"
"KERNEL32.dll","RtlPcToFileHeader","name"
"KERNEL32.dll","RtlUnwindEx","name"
"KERNEL32.dll","RtlVirtualUnwind","name"
"KERNEL32.dll","SetConsoleCtrlHandler","name"
"KERNEL32.dll","SetConsoleMode","name"
"KERNEL32.dll","SetConsoleTextAttribute","name"
"KERNEL32.dll","SetCurrentDirectoryW","name"
"KERNEL32.dll","SetEndOfFile","name"
"KERNEL32.dll","SetEnvironmentVariableA","name"
"KERNEL32.dll","SetEnvironmentVariableW","name"
"KERNEL32.dll","SetErrorMode","name"
"KERNEL32.dll","SetEvent","name"
"KERNEL32.dll","SetFilePointerEx","name"
"KERNEL32.dll","SetLastError","name"
"KERNEL32.dll","SetStdHandle","name"
"KERNEL32.dll","SetThreadAffinityMask","name"
"KERNEL32.dll","SetThreadExecutionState","name"
"KERNEL32.dll","SetThreadPriority","name"
"KERNEL32.dll","SetUnhandledExceptionFilter","name"
"KERNEL32.dll","SetWaitableTimer","name"
"KERNEL32.dll","SignalObjectAndWait","name"
"KERNEL32.dll","Sleep","name"
"KERNEL32.dll","SleepEx","name"
"KERNEL32.dll","SwitchToThread","name"
"KERNEL32.dll","SystemTimeToFileTime","name"
"KERNEL32.dll","SystemTimeToTzSpecificLocalTime","name"
"KERNEL32.dll","TerminateProcess","name"
"KERNEL32.dll","TerminateThread","name"
"KERNEL32.dll","TlsAlloc","name"
"KERNEL32.dll","TlsFree","name"
"KERNEL32.dll","TlsGetValue","name"
"KERNEL32.dll","TlsSetValue","name"
"KERNEL32.dll","TryEnterCriticalSection","name"
"KERNEL32.dll","UnhandledExceptionFilter","name"
"KERNEL32.dll","UnregisterWait","name"
"KERNEL32.dll","UnregisterWaitEx","name"
"KERNEL32.dll","VerifyVersionInfoA","name"
"KERNEL32.dll","VerSetConditionMask","name"
"KERNEL32.dll","VirtualAlloc","name"
"KERNEL32.dll","VirtualFree","name"
"KERNEL32.dll","VirtualProtect","name"
"KERNEL32.dll","VirtualQuery","name"
"KERNEL32.dll","WaitForMultipleObjects","name"
"KERNEL32.dll","WaitForMultipleObjectsEx","name"
"KERNEL32.dll","WaitForSingleObject","name"
"KERNEL32.dll","WaitForSingleObjectEx","name"
"KERNEL32.dll","WideCharToMultiByte","name"
"KERNEL32.dll","WriteConsoleW","name"
"KERNEL32.dll","WriteFile","name"
"MSWSOCK.dll","AcceptEx","name"
"MSWSOCK.dll","GetAcceptExSockaddrs","name"
"ole32.dll","StringFromGUID2","name"
"PSAPI.DLL","EnumProcessModules","name"
"PSAPI.DLL","GetModuleFileNameExA","name"
"USER32.dll","GetProcessWindowStation","name"
"USER32.dll","GetUserObjectInformationW","name"
"USER32.dll","MessageBoxW","name"
"WINTRUST.dll","CryptCATAdminAcquireContext","name"
"WINTRUST.dll","CryptCATAdminCalcHashFromFileHandle","name"
"WINTRUST.dll","CryptCATAdminEnumCatalogFromHash","name"
"WINTRUST.dll","CryptCATAdminReleaseCatalogContext","name"
"WINTRUST.dll","CryptCATAdminReleaseContext","name"
"WINTRUST.dll","CryptCATCatalogInfoFromContext","name"
"WINTRUST.dll","WinVerifyTrust","name"
"WS2_32.dll","freeaddrinfo","name"
"WS2_32.dll","getaddrinfo","name"
"WS2_32.dll","inet_pton","name"
"WS2_32.dll","ORDINAL_1","ordinal"
"WS2_32.dll","ORDINAL_10","ordinal"
"WS2_32.dll","ORDINAL_111","ordinal"
"WS2_32.dll","ORDINAL_112","ordinal"
"WS2_32.dll","ORDINAL_115","ordinal"
"WS2_32.dll","ORDINAL_116","ordinal"
"WS2_32.dll","ORDINAL_13","ordinal"
"WS2_32.dll","ORDINAL_14","ordinal"
"WS2_32.dll","ORDINAL_15","ordinal"
"WS2_32.dll","ORDINAL_151","ordinal"
"WS2_32.dll","ORDINAL_16","ordinal"
"WS2_32.dll","ORDINAL_18","ordinal"
"WS2_32.dll","ORDINAL_19","ordinal"
"WS2_32.dll","ORDINAL_2","ordinal"
"WS2_32.dll","ORDINAL_21","ordinal"
"WS2_32.dll","ORDINAL_22","ordinal"
"WS2_32.dll","ORDINAL_23","ordinal"
"WS2_32.dll","ORDINAL_3","ordinal"
"WS2_32.dll","ORDINAL_4","ordinal"
"WS2_32.dll","ORDINAL_5","ordinal"
"WS2_32.dll","ORDINAL_6","ordinal"
"WS2_32.dll","ORDINAL_7","ordinal"
"WS2_32.dll","ORDINAL_8","ordinal"
"WS2_32.dll","ORDINAL_9","ordinal"
"WS2_32.dll","WSAAddressToStringW","name"
"WS2_32.dll","WSAIoctl","name"
"WS2_32.dll","WSARecv","name"
"WS2_32.dll","WSASend","name"
"WS2_32.dll","WSASocketW","name"
"WS2_32.dll","WSAStringToAddressW","name"
