"relative_path","size_bytes","sha256","extension","last_write_utc"
"PhoenixMiner_6.2c_Windows/doc/interactive.html","10640","f3b09c000c3ebd7a4c93794fdcbf88d2bdf091b6e8adc3f48c015bd8f67b7e5b",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/intro.html","8935","8be72d6a6d0ff5425ad6ee09873da774cab324a33894f46b56361568cbf9d9a9",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/quick-start.html","16563","ea52b00effb0ec8fe68f208b0bb1f7223afed4a0a0df353b5ba275e8cc6d150e",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/remote.html","8122","a9496d23fb1b7a17a8ea62f51e771640a366029055eedeb990bfc28754df30da",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/search.html","7102","4f38ecc7f6ef5978ecb1835544cf500cba9143149dc4d7b54839268da566e9ad",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/searchindex.js","14327","7bd4de2ab5547c1e2f27e18ecce80d8661ded6645bd892251d57d64f9c922509",".js","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/doc/troubleshooting.html","10946","c79d8c000566cf3eb7684b77f31146bfc5072ccd6c27902d4e2ffa5ad70680d7",".html","2022-04-30T03:49:46.0000000Z"
"PhoenixMiner_6.2c_Windows/dpools.txt","1113","c7ca250f97d5e06773a03b03e37367598b9d060a3f0aaaca2ff9d6d77ca9ccd9",".txt","2018-11-26T16:22:44.0000000Z"
"PhoenixMiner_6.2c_Windows/EIO.dll","98304","287e44f5067a4e770e8a0605f5720d3d1477ecc4aa4f3a26ce5d3a489ae79780",".dll","2019-06-02T17:41:18.0000000Z"
"PhoenixMiner_6.2c_Windows/EIO.exe","97792","402438684406d1e3b2d1d5629151259ad864ffc55c8e6ab176f4c47c543d4fee",".exe","2020-11-08T05:33:36.0000000Z"
"PhoenixMiner_6.2c_Windows/epools_example.txt","1974","6d94e3cfdde00762204d14be40d421d83b2285454ddcf46986c9e64664e65124",".txt","2022-04-30T03:44:20.0000000Z"
"PhoenixMiner_6.2c_Windows/PhoenixMiner.exe","8477696","c0e187a0974b337fe6990e9a929c472dcf491282b8171322291a0ed6c1c653c3",".exe","2022-04-27T04:05:16.0000000Z"
"PhoenixMiner_6.2c_Windows/Readme.txt","52382","05b289d6a255d1c9aa398b6074ac4ff0ad982179840d0c759a1aa002cae086f3",".txt","2022-05-02T02:52:18.0000000Z"
"PhoenixMiner_6.2c_Windows/ReleaseNotes.txt","43849","c3eec279c37602649f51b46880288e57e7d17d6c77b0a6918375f025b28af637",".txt","2022-05-02T02:45:24.0000000Z"
"PhoenixMiner_6.2c_Windows/start_miner.bat","507","5e35af7f3a18ed0e8b1cd548fa0df1ed0e61ca8e4630833b35bbff29fc91a112",".bat","2018-04-11T11:42:46.0000000Z"
"PhoenixMiner_6.2c_Windows/start_miner_etc.bat","485","69b05d5625cf3702b82f629cad84ad6c1180c22c84617c5dda77d52774cd5feb",".bat","2020-11-27T08:04:22.0000000Z"
